STREET NAME	LOCATION	AADT 2009	AADT 2010	AADT 2011	AADT 2012	AADT 2013
PIONEER WAY E	SE/O 44 AV E	11750	11125	10525	10000	11425
PIONEER WAY E	NW/O CANYON RD E	13500	13750	12250	11975	
PIONEER WAY E	SE/O CANYON RD E	7000	6900	6350	6175	
PIONEER WAY E	NW/O 72 ST E	7650	7775	7475	7125	7400
PIONEER WAY E	W/O SR 162		6275	5050	5425	
City of Puyallup	E/O SHAW RD E					
POINT FOSDICK DR NW	S/O STONE DR NW		2850		2700	
POINT FOSDICK DR NW	N/O STONE DR NW		2675		2475	
POINT FOSDICK DR NW	S/O 36 ST NW		2900		3275	
POINT FOSDICK DR NW	S/O 104 ST E	15675	15275	14900	15425	15450
POINT FOSDICK DR NW	N/O 104 ST E		12350	12600	11675	
POINT FOSDICK DR NW	N/O 99 ST E	13200	11850	11775	11250	11850
POINT FOSDICK DR NW	S/O 85 ST E	12350	12250	11325	12075	11525
POINT FOSDICK DR NW	N/O 85 ST E	12575	13475	12850	12700	
POINT FOSDICK DR NW	N/O 80 ST E	13300	14075	13300	13950	
PRAIRIE RIDGE DRIVE E	S/O 128 ST E		2075		2125	
PRAIRIE RIDGE DRIVE E	N/O 128 ST E		1875		1500	
PRAIRIE RIDGE DRIVE E	S/O 120 ST E		2625		2500	
RAY NASH DRIVE NW	NE/O ARTONDALE DR NW	1100	1300	1350	1400	1200
RAY NASH DRIVE NW	SW/O ARTONDALE DR NW		1725		1425	
RAY NASH DRIVE NW	S/O ROSEDALE ST NW		3125		3025	
RAY NASH DRIVE NW	S/O KOPACHUCK DR NW		2525		2300	
RAY NASH DRIVE NW	E/O KOPACHUCK DR NW		2900		3175	
RESERVOIR ROAD E	SE/O MILITARY RD E		2325		2550	
RESERVOIR ROAD E	NW/O MILITARY RD E		5250		5400	
REID DRIVE NW	NW/O 54 ST NW		4225		4100	
RHODES LAKE ROAD E	E/O MC CUTCHEON RD E	3700	4550	4375	4200	4925
RHODES LAKE ROAD E	E/O ANGELINE RD E		3950		3175	
RICE KANDLE RD E	NW/O 260 ST E	600		775		700
RICE KANDLE RD S	E/O 8 AV S	625		750		775
RIVERSIDE DR E	N/O 96 ST E	2725	2400	2350	2700	2700
ROSEDALE STREET NW	W/O RAY NASH DR NW		3925	4075	3475	3125
ROSEDALE STREET NW	E/O RAY NASH DR NW		3450		3575	
ROSEDALE STREET NW	E/O 78 AV NW		4075		3775	
ROSEDALE STREET NW	E/O LOMBARD DR NW		5625		5250	
ROUSE ROAD KPS	W/O KEY PENINSULA HWY	275		250		250
ROUSE ROAD KPS	E/O WHITEMAN RD KPS	75		75		100
SALES ROAD S	SE/O STEELE ST S		6025		5200	
SCHUDY ROAD S	S/O 304 ST S	275		275		250
SEHMEL DRIVE NW	W/O BUJACICH DR NW		3700		4275	
SEHMEL DRIVE NW	W/O 70 AV NW		3175	3375	3775	4025
SEHMEL DRIVE NW	E/O 70 AV NW		3925		3825	
SHERIDAN AVENUE S	N/O 116 ST S	650		700		525
SHERIDAN AVENUE S	S/O 116 ST S	675		625		625
SHERIDAN AVENUE S	S/O 122 ST E		10625	12175	12800	
SOUTH PRAIRIE ROAD E	NW/O 214 AV E		12350		13325	
SOUTH PRAIRIE ROAD E	SE/O 214 AV E		9025		8675	
SOUTH PRAIRIE ROAD E	SE/O 112 ST E		6600		6375	
SOUTH PRAIRIE ROAD E	SE/O 120 ST E		6150		6025	
SOUTH PRAIRIE ROAD E	SE/O 234 AV E		5925		5875	
SOUTH TAPPS DRIVE E	SE/O SUMNER-TAPPS	7400	6500		6525	
SOUTH TAPPS DRIVE E	NW/O SUMNER-TAPPS	2075	2150		2050	
SOUTH TAPPS DRIVE E	NW/O 190 AV/MARYANNE		3425		4300	
SOUTH TAPPS DRIVE E	SE/O 190 AV/MARYANNE		2500		3325	
SOUTH VAUGHN ROAD	S/O HALL RD/OLSON DR	1550		1450		1450
SOUTH VAUGHN ROAD	SW/O LACKEY RD	775		750		700
SPANAWAY LOOP ROAD	S/O MILITARY RD S	23575	24975	24000	23425	25275
SPANAWAY LOOP ROAD	N/O MILITARY RD S	25850	26075	26750	25275	27250
SPANAWAY LOOP ROAD	N/O TULE LK RD	30150	30750	30700		30175
SPANAWAY LOOP ROAD	S/O 116 ST S	31300	31700	32500		30975
SPANAWAY LOOP ROAD	N/O 138 ST S	27450	28975	28050	27975	27350
SPANAWAY LOOP ROAD	N/O 174 ST S				23450	21400
SPANAWAY LOOP ROAD	S/O 174 ST S	19550	21050	20600	20225	19900
STEELE STREET S	S/O 112 ST S	36100	34475	35300	35625	33700
STEELE STREET S	N/O 112 ST S	33875	33700	33300	34025	32850
STEELE STREET S	S/O SALES RD S	17150	18150	19425	18225	20750
STEELE STREET S	S/O 102 ST S		16275		15075	
STEELE STREET S	S/O 96 ST S		11975		12500	
STEILACOOM-DUPONT	S/O STEILACOOM C/L	8575		8250		9150
STEILACOOM-DUPONT	N/O CENTER DR	11625		12400		12900
STEILACOOM-DUPONT	S/O CENTER DR	9600		9275		10350
STEWART AVENUE E	E/O PIONEER WAY		3750		3325	
STEWART AVENUE E	E/O 66 AVE E		4800		4775	
STEWART AVENUE E	E/O 76 AVE E					
STONE DRIVE NW	E/O PT FOSDICK DR		6775		6975	
STONE DRIVE NW	E/O JAHN AV NW		875		950	
STONE DRIVE NW	W/O JAHN AV NW		6975		7325	
STRINGTOWN ROAD E	W/O EATONVILLE CUTOFF	450		575		500
